image_key,rating,std,prompt
stable_diffusion/p18,3.6,1.0801234497346432,p18
stable_diffusion/p19,2.88,1.16619037896906,p19
stable_diffusion/p20,3.04,1.274100990241093,p20
stable_diffusion/p21,3.32,0.9451631252505216,p21
stable_diffusion/p22,2.08,1.0770329614269007,p22
stable_diffusion/p23,3.64,1.0754843869934452,p23
stable_diffusion/p24,3.76,0.9695359714832658,p24
stable_diffusion/p25,2.84,1.106044001535804,p25
stable_diffusion/p26,3.6153846153846154,1.1340872303988994,p26
stable_diffusion/p27,1.96,0.8888194417315589,p27
