image_key,rating,std,prompt
stable_diffusion/p08,3.16,1.2806248474865698,p08
stable_diffusion/p09,3.24,1.5620499351813308,p09
stable_diffusion/p10,2.32,1.0692676621563626,p10
stable_diffusion/p11,2.0,1.1902380714238083,p11
stable_diffusion/p12,2.36,1.0754843869934452,p12
stable_diffusion/p13,2.48,1.0847426730181986,p13
stable_diffusion/p14,3.24,1.1647603473104098,p14
stable_diffusion/p15,2.68,1.0295630140987,p15
stable_diffusion/p16,3.6,1.2909944487358058,p16
stable_diffusion/p17,2.88,1.2688577540449522,p17
stable_diffusion/p18,3.28,1.1,p18
stable_diffusion/p19,3.0,1.2909944487358056,p19
stable_diffusion/p20,3.28,1.1,p20
stable_diffusion/p21,3.2,1.0801234497346435,p21
stable_diffusion/p22,2.32,1.0692676621563626,p22
stable_diffusion/p23,3.2,1.0801234497346435,p23
stable_diffusion/p24,3.4,1.4433756729740645,p24
stable_diffusion/p25,2.84,1.1789826122551594,p25
stable_diffusion/p26,3.1923076923076925,1.2335065713397968,p26
stable_diffusion/p27,1.96,1.0598742063723097,p27
