image_key,db,appeal_mean,appeal_std,realism_mean,prompt_matching_mean
craiyon/p01,craiyon,2.6363636363636362,1.2926699776028183,2.0454545454545454,4.7272727272727275
craiyon/p02,craiyon,2.8181818181818183,1.1396057645963793,2.772727272727273,4.818181818181818
craiyon/p03,craiyon,2.6363636363636362,1.2167659925061518,1.9090909090909092,4.681818181818182
craiyon/p04,craiyon,3.0,1.3093073414159542,3.1818181818181817,3.1818181818181817
craiyon/p05,craiyon,2.227272727272727,1.0203555954301133,1.8636363636363635,4.590909090909091
craiyon/p06,craiyon,2.090909090909091,1.3769908845391448,2.090909090909091,4.5
craiyon/p07,craiyon,2.1363636363636362,0.8888437939499214,2.0454545454545454,3.6363636363636362
craiyon/p08,craiyon,2.727272727272727,1.2792042981336627,2.5454545454545454,4.090909090909091
craiyon/p09,craiyon,4.0,0.9258200997725514,3.6363636363636362,4.909090909090909
craiyon/p10,craiyon,1.8181818181818181,0.9069238239845852,1.7727272727272727,2.1818181818181817
craiyon/p11,craiyon,2.0,1.1952286093343936,1.5454545454545454,3.8636363636363638
craiyon/p12,craiyon,3.272727272727273,1.2414207752110245,2.909090909090909,3.5454545454545454
craiyon/p13,craiyon,2.1818181818181817,1.1806521053804944,1.8636363636363635,1.8636363636363635
craiyon/p14,craiyon,2.090909090909091,1.0649878563622848,1.4090909090909092,3.8636363636363638
craiyon/p15,craiyon,2.6363636363636362,1.1769797726729996,1.6363636363636365,4.045454545454546
craiyon/p16,craiyon,3.409090909090909,1.296849328880646,2.8636363636363638,3.6818181818181817
craiyon/p17,craiyon,2.772727272727273,1.3777766140664451,2.1818181818181817,3.6818181818181817
craiyon/p18,craiyon,2.0,0.9759000729485331,1.6818181818181819,2.772727272727273
craiyon/p19,craiyon,2.6818181818181817,1.2105238392398414,2.6818181818181817,3.3636363636363638
craiyon/p20,craiyon,4.045454545454546,1.0455015987905485,3.5,4.0
craiyon/p21,craiyon,2.409090909090909,1.221205138927114,1.7272727272727273,4.545454545454546
craiyon/p22,craiyon,2.409090909090909,1.181568405173351,1.3181818181818181,3.5454545454545454
craiyon/p23,craiyon,3.1363636363636362,1.245772070624499,2.909090909090909,4.409090909090909
craiyon/p24,craiyon,3.0,1.3451854182690985,2.0,3.772727272727273
craiyon/p25,craiyon,2.272727272727273,1.162174406295953,1.9545454545454546,3.4545454545454546
craiyon/p26,craiyon,1.8636363636363635,1.1668212637211672,1.6363636363636365,4.409090909090909
craiyon/p27,craiyon,2.1363636363636362,1.0371873387954442,1.7272727272727273,2.5
dall-e/p01,dall-e,3.1363636363636362,1.245772070624499,3.1363636363636362,4.590909090909091
dall-e/p02,dall-e,4.136363636363637,0.7743171827921034,4.818181818181818,5.0
dall-e/p03,dall-e,4.181818181818182,0.8528028654224417,2.227272727272727,4.863636363636363
dall-e/p04,dall-e,3.6818181818181817,1.0861186305619104,3.4545454545454546,3.8181818181818183
dall-e/p05,dall-e,3.090909090909091,1.269011272759076,2.6363636363636362,4.545454545454546
dall-e/p06,dall-e,2.909090909090909,0.9714540358261649,2.8636363636363638,4.7272727272727275
dall-e/p07,dall-e,2.1818181818181817,1.1806521053804944,2.727272727272727,2.3181818181818183
dall-e/p08,dall-e,3.590909090909091,1.0075472768815938,4.136363636363637,4.909090909090909
dall-e/p09,dall-e,3.909090909090909,1.1087999050492516,4.045454545454546,4.5
dall-e/p10,dall-e,3.3181818181818183,1.2867960816866657,4.409090909090909,4.863636363636363
dall-e/p11,dall-e,3.0,1.2344267996967353,3.409090909090909,2.6818181818181817
dall-e/p12,dall-e,3.4545454545454546,1.2621701918020378,2.6363636363636362,3.909090909090909
dall-e/p13,dall-e,2.9545454545454546,1.1329385612423046,3.0454545454545454,4.181818181818182
