model,metric,img_id,quality_score
midjourney,NIQE,p02.png,2.6266060110345184
midjourney,NIQE,p03.png,3.033031724538441
midjourney,NIQE,p04.png,2.8910487827212257
midjourney,NIQE,p05.png,2.0821716835487916
midjourney,NIQE,p06.png,4.486151856725721
midjourney,NIQE,p07.png,3.4064846083264415
midjourney,NIQE,p08.png,3.7945966035841723
midjourney,NIQE,p09.png,3.34232920489073
midjourney,NIQE,p10.png,2.5324742400409304
midjourney,NIQE,p11.png,2.6109561424795995
midjourney,NIQE,p12.png,2.592861303453219
midjourney,NIQE,p13.png,3.10302709002282
midjourney,NIQE,p14.png,1.7713360369900213
midjourney,NIQE,p15.png,3.4290292313445203
midjourney,NIQE,p16.png,2.7847516081660144
midjourney,NIQE,p17.png,4.530975936862866
midjourney,NIQE,p18.png,3.8940409444368846
midjourney,NIQE,p19.png,3.4368782946871352
midjourney,NIQE,p20.png,2.925585771599931
midjourney,NIQE,p21.png,2.8262594085568273
midjourney,NIQE,p22.png,2.6359625438869125
midjourney,NIQE,p23.png,2.8606113717094033
midjourney,NIQE,p24.png,3.969969344381355
midjourney,NIQE,p25.png,3.494784812875022
midjourney,NIQE,p26.png,2.128767990362901
midjourney,NIQE,p27.png,3.4055086008788997
own,NIQE,p17.png,4.65775828334423
own,NIQE,p18.png,3.7685121836389848
own,NIQE,p19.png,2.5955924299648245
own,NIQE,p20.png,4.890732860443128
own,NIQE,p21.png,6.537663423930456
own,NIQE,p22.png,4.119820538974344
own,NIQE,p23.png,3.2823077361699498
own,NIQE,p24.png,2.981271872650651
own,NIQE,p25.png,4.231932672476857
own,NIQE,p26.png,2.2021879045721864
own,NIQE,p27.png,5.644386641699413
craiyon,NIQE,p01.png,3.972400096163112
craiyon,NIQE,p02.png,3.208504186343705
craiyon,NIQE,p03.png,2.685208888155061
craiyon,NIQE,p04.png,7.274323355188111
craiyon,NIQE,p05.png,3.514460542522655
craiyon,NIQE,p06.png,3.9729786297152785
craiyon,NIQE,p07.png,5.782833636792787
craiyon,NIQE,p08.png,5.021313546727947
craiyon,NIQE,p09.png,4.217443976744272
craiyon,NIQE,p10.png,3.702262244521813
craiyon,NIQE,p11.png,5.502106737754476
craiyon,NIQE,p12.png,3.790527533600571
craiyon,NIQE,p13.png,8.04670276929041
craiyon,NIQE,p14.png,2.445513171335634
craiyon,NIQE,p15.png,3.491091023403936
craiyon,NIQE,p16.png,3.053004425248337
craiyon,NIQE,p17.png,5.748276540402921
craiyon,NIQE,p18.png,5.644130648989969
craiyon,NIQE,p19.png,2.860686559041231
craiyon,NIQE,p20.png,5.326276736655624
craiyon,NIQE,p21.png,7.276556177172424
craiyon,NIQE,p22.png,4.118950512345823
craiyon,NIQE,p23.png,4.344177432157037
craiyon,NIQE,p24.png,3.029002462107822
craiyon,NIQE,p25.png,10.094822252068354
craiyon,NIQE,p26.png,4.3441435402101805
craiyon,NIQE,p27.png,3.7182534196339248
stable_diffusion,NIQE,p01.png,3.5904340794200458
stable_diffusion,NIQE,p02.png,3.0327832227862217
stable_diffusion,NIQE,p03.png,4.038544161542066
stable_diffusion,NIQE,p04.png,3.766938556036172
stable_diffusion,NIQE,p05.png,2.7303842069818236
stable_diffusion,NIQE,p06.png,3.0673184707251173
stable_diffusion,NIQE,p07.png,4.984717633133876
stable_diffusion,NIQE,p08.png,4.993702956460547
stable_diffusion,NIQE,p09.png,2.685069253115699
stable_diffusion,NIQE,p10.png,1.6830057788445425
stable_diffusion,NIQE,p11.png,4.208122797669233
stable_diffusion,NIQE,p12.png,2.4953312486061288
stable_diffusion,NIQE,p13.png,5.101205945331307
stable_diffusion,NIQE,p14.png,2.431344871459571
stable_diffusion,NIQE,p15.png,3.752988887541105
stable_diffusion,NIQE,p16.png,2.378485892506807
stable_diffusion,NIQE,p17.png,5.316504267100693
stable_diffusion,NIQE,p18.png,3.762854168996482
stable_diffusion,NIQE,p19.png,2.8454731880066952
stable_diffusion,NIQE,p20.png,4.418051067561203
stable_diffusion,NIQE,p21.png,6.51709888284337
stable_diffusion,NIQE,p22.png,4.305800779914669
stable_diffusion,NIQE,p23.png,3.135735476229034
stable_diffusion,NIQE,p24.png,3.9601037036384774
stable_diffusion,NIQE,p25.png,2.6668930995361735
stable_diffusion,NIQE,p26.png,3.733732184378053
stable_diffusion,NIQE,p27.png,5.314299091305142
glide,NIQE,p01.png,4.394291849643807
glide,NIQE,p02.png,4.844509847482976
glide,NIQE,p03.png,5.115545813638214
glide,NIQE,p04.png,6.477962411056737
glide,NIQE,p05.png,4.9066284070679345
glide,NIQE,p06.png,3.946382465492392
glide,NIQE,p07.png,5.575463396953504
glide,NIQE,p08.png,5.507357904715213
glide,NIQE,p09.png,4.474115174150949
glide,NIQE,p10.png,7.034137379013919
glide,NIQE,p11.png,7.961503532153302
glide,NIQE,p12.png,4.312132148747931
glide,NIQE,p13.png,6.625732890124651
glide,NIQE,p14.png,4.75118147936685
glide,NIQE,p15.png,5.165181173922666
glide,NIQE,p16.png,2.963989690546286
glide,NIQE,p17.png,4.13638474404228
glide,NIQE,p18.png,5.367719728779661
glide,NIQE,p19.png,4.937667291147626
glide,NIQE,p20.png,7.156394607941886
glide,NIQE,p21.png,10.110854418295785
glide,NIQE,p22.png,12.393967052094741
glide,NIQE,p23.png,4.650331194643775
glide,NIQE,p24.png,4.942690197115429
glide,NIQE,p25.png,6.062850691757129
glide,NIQE,p26.png,5.227895015290175
glide,NIQE,p27.png,6.832811193617429
dall-e,NIQE,p01.png,6.685377690742905
dall-e,NIQE,p02.png,4.736366457841412
dall-e,NIQE,p03.png,3.2898464952189364
dall-e,NIQE,p04.png,4.100276628371615
dall-e,NIQE,p05.png,3.3358016437376428
dall-e,NIQE,p06.png,3.615552468508925
dall-e,NIQE,p07.png,5.564491247726804
dall-e,NIQE,p08.png,3.8980459174905677
dall-e,NIQE,p09.png,3.127287220088797
dall-e,NIQE,p10.png,4.561805416128596
